order_id,order_date,date_id,customer_id,store_id,employee_id,payment_method,order_status,total_revenue,total_cost
ORD0007012,1/3/2022,20220103,CUS01388,9,EMP0146,InstaPay,Returned,270,130
ORD0002990,1/3/2022,20220103,CUS00970,11,EMP0168,InstaPay,Completed,17420,18100
ORD0009779,1/3/2022,20220103,CUS00024,10,EMP0155,Vodafone Cash,Completed,1496,880
ORD0007898,1/3/2022,20220103,CUS01384,2,EMP0029,Fawry,Completed,620.5,360
ORD0006630,1/3/2022,20220103,CUS02931,3,EMP0075,Credit Card,Completed,1705,840
ORD0002527,1/3/2022,20220103,CUS00863,7,EMP0128,Credit Card,Returned,140,70
ORD0011599,1/3/2022,20220103,CUS01797,4,EMP0092,Debit Card,Completed,1000,480
ORD0008200,1/3/2022,20220103,CUS00763,14,EMP0200,Fawry,Completed,250,120
ORD0008133,1/3/2022,20220103,CUS00287,3,EMP0061,Credit Card,Completed,400,180
ORD0006331,1/3/2022,20220103,CUS00926,8,EMP0138,Debit Card,Completed,144,80
ORD0011920,1/3/2022,20220103,CUS01445,5,EMP0099,Fawry,Completed,1879,1150
ORD0007389,1/4/2022,20220104,CUS01796,12,EMP0179,Vodafone Cash,Completed,1912.5,1260
ORD0005911,1/4/2022,20220104,CUS02048,9,EMP0148,Fawry,Completed,126,70
ORD0003572,1/4/2022,20220104,CUS02975,1,EMP0008,Cash,Completed,867,500
ORD0003245,1/4/2022,20220104,CUS00890,10,EMP0153,Credit Card,Completed,126,70
ORD0008639,1/4/2022,20220104,CUS02459,5,EMP0097,Fawry,Returned,2438.5,1370
ORD0000613,1/4/2022,20220104,CUS01480,3,EMP0056,Cash,Completed,180,120
ORD0003217,1/4/2022,20220104,CUS01847,2,EMP0050,Cash,Completed,480,230
ORD0009497,1/4/2022,20220104,CUS01201,7,EMP0131,Credit Card,Completed,144,70
ORD0001547,1/4/2022,20220104,CUS01211,1,EMP0014,Credit Card,Completed,364,240
ORD0011181,1/4/2022,20220104,CUS02923,1,EMP0007,Cash,Completed,3545,1760
ORD0008695,1/4/2022,20220104,CUS02351,2,EMP0048,Fawry,Returned,669,350
ORD0005622,1/4/2022,20220104,CUS00922,2,EMP0036,Fawry,Completed,32539,27040
ORD0005698,1/4/2022,20220104,CUS02083,6,EMP0123,Debit Card,Returned,522,290
ORD0010585,1/4/2022,20220104,CUS01845,3,EMP0060,Cash,Completed,3961,1970
ORD0008959,1/5/2022,20220105,CUS00118,5,EMP0103,InstaPay,Completed,1434,740
ORD0004075,1/5/2022,20220105,CUS02268,5,EMP0098,Fawry,Completed,25450,24700
ORD0005996,1/5/2022,20220105,CUS02966,5,EMP0101,Vodafone Cash,Completed,442,250
ORD0008933,1/5/2022,20220105,CUS00282,1,EMP0005,Cash,Completed,16097,13210
ORD0009180,1/5/2022,20220105,CUS01953,1,EMP0010,Cash,Completed,8122.5,6890
ORD0004337,1/5/2022,20220105,CUS01321,1,EMP0021,InstaPay,Completed,378,210
ORD0007407,1/5/2022,20220105,CUS00761,3,EMP0056,InstaPay,Completed,180,100
ORD0009048,1/5/2022,20220105,CUS02462,15,EMP0212,InstaPay,Returned,1696,890
ORD0001409,1/5/2022,20220105,CUS00053,3,EMP0073,Fawry,Completed,35640,31500
ORD0006533,1/5/2022,20220105,CUS02993,3,EMP0073,InstaPay,Completed,482.5,260
ORD0004558,1/5/2022,20220105,CUS02352,5,EMP0111,Credit Card,Completed,135,70
ORD0006990,1/5/2022,20220105,CUS00896,11,EMP0164,Vodafone Cash,Completed,1125,590
ORD0011981,1/5/2022,20220105,CUS02416,2,EMP0051,Cash,Completed,28594,30160
ORD0002793,1/5/2022,20220105,CUS02389,14,EMP0197,InstaPay,Cancelled,8160,8000
ORD0005004,1/6/2022,20220106,CUS01392,13,EMP0190,Fawry,Completed,747,450
ORD0008997,1/6/2022,20220106,CUS02796,12,EMP0177,Credit Card,Completed,480,300
ORD0005212,1/6/2022,20220106,CUS00312,10,EMP0156,Fawry,Completed,5738,4610
ORD0005132,1/6/2022,20220106,CUS02109,6,EMP0123,Vodafone Cash,Completed,510,280
ORD0009384,1/6/2022,20220106,CUS00027,5,EMP0095,InstaPay,Completed,170,80
ORD0011794,1/6/2022,20220106,CUS00894,8,EMP0143,InstaPay,Completed,253.5,140
ORD0001834,1/6/2022,20220106,CUS02698,2,EMP0042,InstaPay,Completed,1048,630
ORD0011552,1/6/2022,20220106,CUS02399,1,EMP0010,Debit Card,Completed,150,70
ORD0009837,1/7/2022,20220107,CUS00485,13,No_Employee_id,Vodafone Cash,Completed,935,560
ORD0011401,1/7/2022,20220107,CUS01289,1,EMP0017,Credit Card,Completed,1472.5,700
ORD0006381,1/7/2022,20220107,CUS02538,1,EMP0006,InstaPay,Completed,280,140
ORD0007846,1/7/2022,20220107,CUS01069,12,EMP0184,Vodafone Cash,Completed,1740,870
ORD0000234,1/7/2022,20220107,CUS02362,1,EMP0026,InstaPay,Completed,15134,12020
ORD0001923,1/7/2022,20220107,CUS02280,6,EMP0124,Debit Card,Returned,2199.5,1110
ORD0007912,1/7/2022,20220107,CUS00133,7,No_Employee_id,Debit Card,Completed,3210.5,1610
ORD0003882,1/7/2022,20220107,CUS01458,2,EMP0051,Debit Card,Completed,320,140
ORD0011170,1/8/2022,20220108,CUS01226,3,EMP0070,Cash,Completed,1620,810
ORD0008414,1/8/2022,20220108,CUS01391,1,EMP0028,Cash,Completed,458,260
ORD0004736,1/8/2022,20220108,CUS00681,7,EMP0128,InstaPay,Completed,234,130
ORD0009892,1/8/2022,20220108,CUS02128,5,EMP0097,InstaPay,Completed,750,480
ORD0006138,1/8/2022,20220108,CUS00831,3,EMP0055,Vodafone Cash,Completed,14230,12690
ORD0000568,1/8/2022,20220108,CUS00421,7,EMP0135,Cash,Completed,2236.5,1140
ORD0003796,1/8/2022,20220108,CUS01402,3,EMP0077,Vodafone Cash,Completed,336,210
ORD0011913,1/8/2022,20220108,CUS00640,9,EMP0147,Credit Card,Completed,333,180
ORD0001218,1/8/2022,20220108,CUS02028,5,EMP0112,Debit Card,Completed,378,200
ORD0003840,1/8/2022,20220108,CUS01966,14,EMP0195,InstaPay,Completed,126,70
ORD0009786,1/9/2022,20220109,CUS00671,11,EMP0165,InstaPay,Completed,1142.5,690
ORD0010092,1/9/2022,20220109,CUS01602,3,EMP0060,Vodafone Cash,Completed,1530,750
ORD0009742,1/9/2022,20220109,CUS00483,6,EMP0122,Cash,Completed,726,360
ORD0005699,1/9/2022,20220109,CUS02224,4,EMP0079,Vodafone Cash,Completed,277.5,180
ORD0006301,1/9/2022,20220109,CUS02704,2,EMP0037,Credit Card,Completed,1461.5,730
ORD0006700,1/9/2022,20220109,CUS00446,11,EMP0169,Cash,Completed,11090,8790
ORD0008986,1/9/2022,20220109,CUS00592,6,EMP0120,InstaPay,Completed,342,180
ORD0011525,1/9/2022,20220109,CUS02507,5,EMP0104,Vodafone Cash,Completed,662.5,370
ORD0001944,1/9/2022,20220109,CUS02423,3,EMP0074,Cash,Completed,260,130
ORD0011808,1/9/2022,20220109,CUS01630,11,EMP0164,Credit Card,Completed,837,450
ORD0007767,1/9/2022,20220109,CUS02662,6,EMP0118,Cash,Completed,320,140
ORD0004495,1/10/2022,20220110,CUS02848,12,EMP0182,Debit Card,Completed,611,310
ORD0010893,1/10/2022,20220110,CUS01447,3,EMP0077,InstaPay,Completed,621.5,310
ORD0010588,1/10/2022,20220110,CUS02694,2,EMP0036,Debit Card,Completed,493,280
ORD0001710,1/10/2022,20220110,CUS01942,7,EMP0131,Vodafone Cash,Completed,1125,600
ORD0003634,1/10/2022,20220110,CUS00322,5,EMP0112,Vodafone Cash,Completed,1050,500
ORD0010107,1/11/2022,20220111,CUS01780,4,EMP0086,Debit Card,Completed,1070,510
ORD0000696,1/11/2022,20220111,CUS01739,1,EMP0005,Fawry,Returned,816,660
ORD0001231,1/11/2022,20220111,CUS00296,8,EMP0138,Cash,Completed,21919,21430
ORD0001830,1/11/2022,20220111,CUS01008,5,No_Employee_id,Fawry,Completed,2232,1150
ORD0002944,1/11/2022,20220111,CUS02313,12,EMP0179,Debit Card,Completed,412,250
ORD0008088,1/11/2022,20220111,CUS00678,6,EMP0118,Fawry,Completed,828,440
ORD0009421,1/11/2022,20220111,CUS02612,15,EMP0215,Cash,Returned,190,90
ORD0006707,1/11/2022,20220111,CUS01425,1,EMP0002,Vodafone Cash,Completed,27270,24040
ORD0001365,1/11/2022,20220111,CUS01881,2,EMP0048,InstaPay,Completed,3330,2510
ORD0005705,1/11/2022,20220111,CUS02790,2,EMP0046,Fawry,Completed,210,100
ORD0002223,1/11/2022,20220111,CUS00186,2,EMP0031,Credit Card,Completed,5603,3840
ORD0002684,1/12/2022,20220112,CUS01633,2,EMP0038,Credit Card,Completed,1656,880
ORD0002970,1/12/2022,20220112,CUS00602,11,EMP0173,Credit Card,Completed,418,220
ORD0009076,1/12/2022,20220112,CUS01918,12,EMP0174,Cash,Completed,2300,1460
ORD0009682,1/12/2022,20220112,CUS00258,10,EMP0158,Debit Card,Completed,291,160
ORD0004272,1/12/2022,20220112,CUS00064,14,EMP0200,Vodafone Cash,Completed,360,160
ORD0010444,1/12/2022,20220112,CUS00427,10,EMP0158,InstaPay,Completed,4096,2040
ORD0004712,1/12/2022,20220112,CUS00906,3,EMP0063,Vodafone Cash,Completed,1392,720
ORD0009161,1/13/2022,20220113,CUS00545,3,EMP0058,Credit Card,Completed,140,70
ORD0006280,1/13/2022,20220113,CUS00945,1,EMP0014,InstaPay,Completed,228,120
ORD0001725,1/13/2022,20220113,CUS00251,2,EMP0037,InstaPay,Completed,1143,560
ORD0003601,1/13/2022,20220113,CUS02253,5,EMP0108,Fawry,Completed,288,140
ORD0005311,1/13/2022,20220113,CUS02704,5,EMP0106,Vodafone Cash,Completed,640,280
ORD0001180,1/13/2022,20220113,CUS01684,3,EMP0077,Fawry,Completed,948,510
ORD0009093,1/13/2022,20220113,CUS02976,1,EMP0023,Debit Card,Completed,1104,660
ORD0006115,1/13/2022,20220113,CUS01254,3,EMP0071,Credit Card,Completed,1022,530
ORD0002179,1/14/2022,20220114,CUS00544,5,EMP0106,Credit Card,Completed,2087.5,1030
ORD0001483,1/14/2022,20220114,CUS00710,5,EMP0098,InstaPay,Completed,232.5,110
ORD0001788,1/14/2022,20220114,CUS01619,13,EMP0191,Vodafone Cash,Returned,1664,820
ORD0003798,1/14/2022,20220114,CUS02666,3,EMP0071,InstaPay,Completed,648,340
ORD0004876,1/14/2022,20220114,CUS00233,5,EMP0095,Cash,Completed,423,230
ORD0000031,1/14/2022,20220114,CUS01253,2,EMP0038,Debit Card,Completed,2388,1330
ORD0011499,1/14/2022,20220114,CUS02865,3,EMP0067,Credit Card,Completed,5760,4360
ORD0001845,1/14/2022,20220114,CUS00304,2,EMP0029,Vodafone Cash,Completed,1090,570
ORD0003747,1/14/2022,20220114,CUS00044,8,EMP0141,Cash,Completed,785.5,480
ORD0007255,1/14/2022,20220114,CUS00697,14,EMP0194,Credit Card,Completed,1350,750
ORD0007778,1/14/2022,20220114,CUS01633,10,EMP0162,Credit Card,Completed,810,400
ORD0001031,1/14/2022,20220114,CUS02415,7,EMP0136,Credit Card,Completed,520,250
ORD0005514,1/14/2022,20220114,CUS02599,8,EMP0139,Credit Card,Completed,600,290
ORD0004704,1/14/2022,20220114,CUS01143,3,EMP0055,Vodafone Cash,Completed,898,460
ORD0008914,1/14/2022,20220114,CUS01806,13,EMP0191,Cash,Completed,1188,670
ORD0004878,1/14/2022,20220114,CUS02570,4,EMP0089,Debit Card,Completed,800,700
ORD0006349,1/14/2022,20220114,CUS01026,7,EMP0131,InstaPay,Completed,6100,4900
ORD0009016,1/14/2022,20220114,CUS01602,7,EMP0135,Debit Card,Completed,16920.5,14990
ORD0005296,1/14/2022,20220114,CUS01222,11,EMP0164,Fawry,Completed,23141,21360
ORD0000240,1/15/2022,20220115,CUS02998,6,EMP0124,Vodafone Cash,Completed,1359,750
ORD0007873,1/15/2022,20220115,CUS02519,6,EMP0114,Fawry,Completed,1026,540
ORD0006634,1/15/2022,20220115,CUS02489,7,EMP0133,Debit Card,Completed,368,220
ORD0009229,1/15/2022,20220115,CUS00854,5,EMP0098,InstaPay,Cancelled,460,220
ORD0000433,1/15/2022,20220115,CUS00318,10,EMP0158,Credit Card,Completed,290,140
ORD0006410,1/15/2022,20220115,CUS02734,5,EMP0112,InstaPay,Returned,453,260
ORD0010832,1/15/2022,20220115,CUS01781,1,EMP0018,Cash,Returned,600,400
ORD0004209,1/15/2022,20220115,CUS00947,3,EMP0073,Cash,Completed,874.5,460
ORD0004082,1/15/2022,20220115,CUS00157,10,No_Employee_id,Fawry,Completed,16228,12620
ORD0001553,1/15/2022,20220115,CUS00613,2,EMP0036,Vodafone Cash,Completed,848,450
ORD0008154,1/15/2022,20220115,CUS01579,4,No_Employee_id,Cash,Completed,8100,8400
ORD0006488,1/16/2022,20220116,CUS02975,2,EMP0035,Fawry,Returned,863,440
ORD0007041,1/16/2022,20220116,CUS00070,13,EMP0188,Debit Card,Completed,680,320
ORD0009929,1/16/2022,20220116,CUS01197,7,EMP0129,InstaPay,Completed,13193,10990
ORD0007123,1/16/2022,20220116,CUS02890,12,EMP0180,Fawry,Completed,1110,540
ORD0011684,1/16/2022,20220116,CUS01491,1,EMP0016,Credit Card,Completed,760.5,390
ORD0000916,1/16/2022,20220116,CUS02870,4,EMP0083,Fawry,Completed,799.5,410
ORD0000426,1/16/2022,20220116,CUS00031,6,EMP0119,Debit Card,Completed,27192,21440
ORD0001408,1/16/2022,20220116,CUS01979,2,EMP0030,Credit Card,Returned,243,120
ORD0009835,1/16/2022,20220116,CUS00961,3,EMP0055,Vodafone Cash,Completed,1398,680
ORD0000463,1/16/2022,20220116,CUS01353,7,EMP0131,InstaPay,Returned,570,270
ORD0002918,1/16/2022,20220116,CUS01827,7,EMP0132,Cash,Completed,940.5,520
ORD0002403,1/16/2022,20220116,CUS02314,14,EMP0197,Debit Card,Completed,754,370
ORD0009244,1/16/2022,20220116,CUS02809,13,EMP0185,Debit Card,Completed,867,450
ORD0005561,1/16/2022,20220116,CUS00997,2,EMP0050,InstaPay,Completed,10970,10460
ORD0001308,1/16/2022,20220116,CUS00464,7,EMP0133,Debit Card,Completed,315,170
ORD0011175,1/17/2022,20220117,CUS01323,14,EMP0203,Vodafone Cash,Completed,3040,1480
ORD0011690,1/17/2022,20220117,CUS02577,3,EMP0072,Credit Card,Completed,78660,66300
ORD0009771,1/17/2022,20220117,CUS02810,9,EMP0147,Credit Card,Completed,2621.5,1400
ORD0011168,1/18/2022,20220118,CUS01210,12,EMP0179,InstaPay,Completed,61353,48550
ORD0004188,1/18/2022,20220118,CUS01760,3,EMP0069,InstaPay,Completed,279,150
ORD0007855,1/18/2022,20220118,CUS02466,3,EMP0058,InstaPay,Completed,38120,30380
ORD0006348,1/18/2022,20220118,CUS00414,12,EMP0184,Cash,Completed,580,290
ORD0005750,1/18/2022,20220118,CUS01177,1,EMP0010,Cash,Cancelled,8075,6500
ORD0000083,1/18/2022,20220118,CUS00802,2,EMP0031,Debit Card,Completed,1312,800
ORD0010078,1/18/2022,20220118,CUS01883,7,EMP0131,InstaPay,Completed,1687,940
ORD0008991,1/18/2022,20220118,CUS01934,1,EMP0012,InstaPay,Completed,344,210
ORD0000458,1/18/2022,20220118,CUS00328,8,EMP0137,InstaPay,Completed,7095,5040
ORD0005740,1/18/2022,20220118,CUS01419,6,EMP0115,Cash,Completed,832,500
ORD0003999,1/18/2022,20220118,CUS01629,3,EMP0069,Vodafone Cash,Completed,892.5,510
ORD0007461,1/19/2022,20220119,CUS00894,5,EMP0104,Vodafone Cash,Completed,1846,1000
ORD0010279,1/19/2022,20220119,CUS00310,4,EMP0083,Cash,Completed,1950,940
ORD0009996,1/19/2022,20220119,CUS02220,14,EMP0195,Cash,Completed,1816,900
ORD0003921,1/19/2022,20220119,CUS01473,14,EMP0200,Credit Card,Completed,320,160
ORD0004512,1/19/2022,20220119,CUS01054,15,EMP0208,Credit Card,Completed,422,220
ORD0001927,1/19/2022,20220119,CUS02088,4,EMP0094,Vodafone Cash,Completed,1080,580
ORD0008225,1/19/2022,20220119,CUS01981,4,EMP0079,InstaPay,Completed,54260,47900
ORD0007916,1/19/2022,20220119,CUS00760,1,EMP0024,Vodafone Cash,Completed,300,150
ORD0001714,1/19/2022,20220119,CUS01519,10,EMP0161,Cash,Completed,1850,900
ORD0001339,1/19/2022,20220119,CUS02175,3,EMP0056,Cash,Completed,990,480
ORD0006158,1/19/2022,20220119,CUS01770,6,EMP0118,Fawry,Completed,12738,12400
ORD0000979,1/19/2022,20220119,CUS00267,1,EMP0023,Debit Card,Completed,168,120
ORD0005192,1/19/2022,20220119,CUS02509,4,No_Employee_id,Credit Card,Completed,13000,10840
ORD0007059,1/20/2022,20220120,CUS00259,5,EMP0107,Debit Card,Returned,1327,640
ORD0005207,1/20/2022,20220120,CUS01281,1,EMP0002,Vodafone Cash,Returned,895,440
ORD0004000,1/20/2022,20220120,CUS01272,6,EMP0115,Cash,Completed,884,530
ORD0008265,1/20/2022,20220120,CUS02348,9,EMP0149,InstaPay,Returned,476,280
ORD0007993,1/20/2022,20220120,CUS02370,12,EMP0180,Vodafone Cash,Completed,3195.5,1570
ORD0001895,1/20/2022,20220120,CUS00391,4,EMP0089,Vodafone Cash,Completed,1064,560
ORD0006541,1/20/2022,20220120,CUS02840,2,EMP0052,Fawry,Completed,21280,17800
ORD0003900,1/20/2022,20220120,CUS01997,4,EMP0093,InstaPay,Returned,880,460
ORD0007887,1/20/2022,20220120,CUS00479,1,EMP0011,Credit Card,Returned,8800,8700
ORD0009531,1/21/2022,20220121,CUS00958,2,EMP0034,Fawry,Completed,2452,1210
ORD0010884,1/21/2022,20220121,CUS02026,1,EMP0024,InstaPay,Completed,330,170
ORD0006876,1/21/2022,20220121,CUS00664,1,EMP0006,Credit Card,Completed,1180,570
ORD0000236,1/21/2022,20220121,CUS00216,2,EMP0050,Fawry,Completed,500,250
ORD0003864,1/21/2022,20220121,CUS00116,1,EMP0021,Fawry,Completed,330,160
ORD0011154,1/21/2022,20220121,CUS00973,2,EMP0034,InstaPay,Completed,221,120
ORD0005778,1/21/2022,20220121,CUS01933,2,EMP0034,Fawry,Returned,2888,1480
ORD0004268,1/21/2022,20220121,CUS01457,4,EMP0094,Cash,Completed,944,500
ORD0007996,1/21/2022,20220121,CUS02172,3,EMP0061,InstaPay,Completed,11919,10510
ORD0009603,1/21/2022,20220121,CUS00489,4,EMP0079,InstaPay,Completed,681,360
ORD0005424,1/22/2022,20220122,CUS00264,1,EMP0024,InstaPay,Completed,427.5,270
ORD0002160,1/22/2022,20220122,CUS02290,2,No_Employee_id,Cash,Completed,11804,9720
ORD0006872,1/22/2022,20220122,CUS02104,5,EMP0103,Credit Card,Completed,112,70
ORD0009626,1/22/2022,20220122,CUS02575,2,EMP0033,Vodafone Cash,Completed,650,330
ORD0000609,1/22/2022,20220122,CUS02196,13,EMP0192,Credit Card,Completed,7200,6400
ORD0005473,1/22/2022,20220122,CUS02508,4,EMP0093,Fawry,Completed,997.5,520
ORD0008765,1/22/2022,20220122,CUS00188,4,EMP0088,Cash,Completed,780,380
ORD0005027,1/22/2022,20220122,CUS02903,11,EMP0170,Cash,Completed,844.5,430
ORD0010998,1/22/2022,20220122,CUS01108,5,EMP0111,Debit Card,Completed,1080,540
ORD0010510,1/22/2022,20220122,CUS01252,6,No_Employee_id,Fawry,Completed,540,260
ORD0002725,1/22/2022,20220122,CUS01689,1,EMP0004,InstaPay,Cancelled,11880,10600
ORD0007052,1/22/2022,20220122,CUS02446,4,EMP0085,InstaPay,Completed,320,140
ORD0003991,1/22/2022,20220122,CUS00706,14,EMP0197,Fawry,Completed,204,120
ORD0004099,1/22/2022,20220122,CUS01499,2,EMP0042,Fawry,Completed,26854,21260
ORD0007603,1/22/2022,20220122,CUS01175,7,EMP0134,Cash,Completed,560,280
ORD0003957,1/22/2022,20220122,CUS00423,5,EMP0100,Debit Card,Completed,522,280
ORD0001342,1/23/2022,20220123,CUS02921,1,EMP0006,Cash,Completed,918,500
ORD0010994,1/23/2022,20220123,CUS01119,3,No_Employee_id,Vodafone Cash,Completed,577,290
ORD0003356,1/23/2022,20220123,CUS02215,14,EMP0198,Cash,Completed,5144,3480
ORD0001524,1/23/2022,20220123,CUS00029,6,EMP0124,Fawry,Returned,1230,570
ORD0007893,1/23/2022,20220123,CUS02530,11,EMP0165,Credit Card,Cancelled,660,320
ORD0010161,1/23/2022,20220123,CUS02653,5,EMP0112,Credit Card,Completed,2072.5,1020
ORD0000680,1/23/2022,20220123,CUS00447,4,EMP0083,Debit Card,Completed,1583,850
ORD0007214,1/23/2022,20220123,CUS00921,6,EMP0115,InstaPay,Cancelled,520,240
ORD0005876,1/23/2022,20220123,CUS00560,1,EMP0013,Vodafone Cash,Completed,130,60
ORD0003425,1/23/2022,20220123,CUS02806,4,EMP0080,Fawry,Completed,2080,1070
ORD0002984,1/23/2022,20220123,CUS01848,1,EMP0013,Debit Card,Completed,152,70
ORD0009819,1/23/2022,20220123,CUS01630,4,EMP0083,Fawry,Completed,1066,570
ORD0006563,1/23/2022,20220123,CUS00889,8,EMP0142,Debit Card,Completed,4918.5,3630
ORD0011087,1/23/2022,20220123,CUS02869,10,EMP0161,Vodafone Cash,Completed,765,420
ORD0000268,1/24/2022,20220124,CUS00213,6,EMP0113,Cash,Completed,1905,950
ORD0005101,1/24/2022,20220124,CUS01859,11,EMP0164,Cash,Completed,21960,19600
ORD0000537,1/24/2022,20220124,CUS01079,2,EMP0036,Cash,Completed,90,40
ORD0009927,1/24/2022,20220124,CUS01963,4,EMP0094,Credit Card,Completed,12917,11100
ORD0011996,1/25/2022,20220125,CUS00890,7,EMP0136,InstaPay,Completed,12832,10960
ORD0006088,1/25/2022,20220125,CUS01508,15,EMP0205,Fawry,Completed,1013,470
ORD0000783,1/25/2022,20220125,CUS02584,1,EMP0025,Credit Card,Completed,1410,760
ORD0005265,1/25/2022,20220125,CUS00645,11,EMP0164,Cash,Completed,13322,12300
ORD0009441,1/25/2022,20220125,CUS00685,11,EMP0168,Credit Card,Completed,486,260
ORD0008239,1/25/2022,20220125,CUS02915,4,EMP0081,Vodafone Cash,Completed,35406,35470
ORD0007235,1/25/2022,20220125,CUS00291,11,EMP0169,Vodafone Cash,Completed,1275,1200
ORD0011224,1/25/2022,20220125,CUS01284,5,EMP0105,Vodafone Cash,Completed,1446,700
ORD0008064,1/25/2022,20220125,CUS01332,11,EMP0166,Fawry,Completed,684,360
ORD0009757,1/25/2022,20220125,CUS02305,3,EMP0062,Vodafone Cash,Completed,60865.5,51040
ORD0007315,1/25/2022,20220125,CUS00155,8,EMP0141,Vodafone Cash,Returned,321,150
ORD0007495,1/25/2022,20220125,CUS02472,6,EMP0117,Vodafone Cash,Completed,1350,640
ORD0004430,1/25/2022,20220125,CUS02249,7,EMP0131,Debit Card,Completed,260,120
ORD0007926,1/26/2022,20220126,CUS00696,2,EMP0031,Cash,Completed,5900,4700
ORD0004396,1/26/2022,20220126,CUS00578,1,EMP0004,Cash,Completed,480,210
ORD0005940,1/26/2022,20220126,CUS01139,3,EMP0060,Fawry,Completed,300,200
ORD0003940,1/26/2022,20220126,CUS02386,3,EMP0072,Cash,Completed,504,240
ORD0007814,1/26/2022,20220126,CUS01049,11,No_Employee_id,Fawry,Completed,1096,600
ORD0009026,1/26/2022,20220126,CUS02671,1,EMP0012,Credit Card,Completed,490,340
ORD0010229,1/26/2022,20220126,CUS00914,1,EMP0002,Debit Card,Returned,4928,3460
ORD0009224,1/26/2022,20220126,CUS01125,5,EMP0099,InstaPay,Completed,2050,1180
ORD0001173,1/26/2022,20220126,CUS00467,4,EMP0094,Vodafone Cash,Cancelled,2088.5,1160
ORD0005736,1/26/2022,20220126,CUS01174,15,EMP0209,Credit Card,Completed,340,160
ORD0003074,1/26/2022,20220126,CUS01250,4,EMP0094,Cash,Completed,622,310
ORD0007553,1/26/2022,20220126,CUS02004,6,EMP0122,Debit Card,Returned,457,240
ORD0008928,1/26/2022,20220126,CUS01923,1,EMP0025,Cash,Completed,764.5,410
ORD0004183,1/26/2022,20220126,CUS00273,10,EMP0156,Cash,Completed,220,100
ORD0003408,1/27/2022,20220127,CUS02094,3,EMP0061,Cash,Completed,19620,17400
ORD0005894,1/27/2022,20220127,CUS02825,5,EMP0106,Debit Card,Completed,1500,720
ORD0011179,1/27/2022,20220127,CUS00621,1,EMP0017,InstaPay,Completed,440,220
ORD0007844,1/27/2022,20220127,CUS00674,3,EMP0061,Credit Card,Completed,493,280
ORD0002405,1/27/2022,20220127,CUS00109,3,EMP0075,InstaPay,Completed,1485.5,760
ORD0009778,1/27/2022,20220127,CUS02156,13,EMP0190,InstaPay,Completed,2324.5,1280
ORD0010790,1/27/2022,20220127,CUS00850,8,No_Employee_id,Cash,Completed,11536,10090
ORD0009267,1/27/2022,20220127,CUS00128,1,EMP0004,Credit Card,Cancelled,180,80
